ID,vtaline,lineabbr,commentid,linename,RouteServiceType,SignId,LineId,LineDirId,DirNum,DirectionName
ID97,97NORTH,97,0,MONTAGUE BUS BRIDGE,Regular,202,18573,185730,0,NORTH
ID97,97SOUTH,97,0,MONTAGUE BUS BRIDGE,Regular,202,18573,185731,1,SOUTH
ID10,10EAST,10,0,SANTA CLARA TRANSIT- METRO AIRPORT,Local,202,18282,182820,0,EAST
ID10,10WEST,10,0,SANTA CLARA TRANSIT- METRO AIRPORT,Local,202,18282,182821,1,WEST
ID12,12EAST,12,0,SAN JOSE CIVIC CENTER - EASTRIDGE,Local,202,18283,182830,0,EAST
ID12,12WEST,12,0,SAN JOSE CIVIC CENTER - EASTRIDGE,Local,202,18283,182831,1,WEST
ID13,13NORTH,13,0,ALMADEN & MCKEAN- OHLONE/CHYNWTH,Community Bus,202,18284,182840,0,NORTH
ID13,13SOUTH,13,0,ALMADEN & MCKEAN- OHLONE/CHYNWTH,Community Bus,202,18284,182841,1,SOUTH
ID14,14NORTH,14,0,GILROY TRANS CTR - ST. LOUISE HOSP,Community Bus,202,18285,182850,0,NORTH
ID14,14SOUTH,14,0,GILROY TRANS CTR - ST. LOUISE HOSP,Community Bus,202,18285,182851,1,SOUTH
ID16,16NORTH,16,0,M.H. CIVIC CTR - BURNETT AVE,Community Bus,202,18286,182860,0,NORTH
ID16,16SOUTH,16,0,M.H. CIVIC CTR - BURNETT AVE,Community Bus,202,18286,182861,1,SOUTH
ID17,17NORTH,17,0,GILROY TRNS CTR - MNTRY & LS ANIMAS,Community Bus,202,18287,182870,0,NORTH
ID17,17SOUTH,17,0,GILROY TRNS CTR - MNTRY & LS ANIMAS,Community Bus,202,18287,182871,1,SOUTH
ID18,18NORTH,18,0,GILROY TRANS CTR - GAVILAN COLLEGE,Community Bus,202,18288,182880,0,NORTH
ID18,18SOUTH,18,0,GILROY TRANS CTR - GAVILAN COLLEGE,Community Bus,202,18288,182881,1,SOUTH
ID19,19NORTH,19,0,GILROY TRANS CTR - WREN & MANTELLI,Community Bus,202,18289,182890,0,NORTH
ID19,19SOUTH,19,0,GILROY TRANS CTR - WREN & MANTELLI,Community Bus,202,18289,182891,1,SOUTH
ID22,22EAST,22,0,PALO ALTO - EASTRIDGE,Core,202,18290,182900,0,EAST
ID22,22WEST,22,0,PALO ALTO - EASTRIDGE,Core,202,18290,182901,1,WEST
ID23,23EAST,23,0,DE ANZA COL - ALUM ROCK TRANS CTR,Core,202,18291,182910,0,EAST
ID23,23WEST,23,0,DE ANZA COL - ALUM ROCK TRANS CTR,Core,202,18291,182911,1,WEST
ID25,25EAST,25,0,DE ANZA COL - ALUM ROCK TRANS CTR,Core,202,18292,182920,0,EAST
ID25,25WEST,25,0,DE ANZA COL - ALUM ROCK TRANS CTR,Core,202,18292,182921,1,WEST
ID26,26EAST,26,0,SUNNYVALE/LOCKHEED - EASTRIDGE ,Core,202,18293,182930,0,EAST
ID26,26WEST,26,0,SUNNYVALE/LOCKHEED - EASTRIDGE ,Core,202,18293,182931,1,WEST
ID27,27EAST,27,0,GOOD SAM HOSP - KAISER SAN JOSE,Local,202,18294,182940,0,EAST
ID27,27WEST,27,0,GOOD SAM HOSP - KAISER SAN JOSE,Local,202,18294,182941,1,WEST
ID31,31NORTH,31,0,EVERGREEN VALLEY COL - EASTRIDGE,Local,202,18295,182950,0,NORTH
